all,sb,arm,drive
-25.871,-3.707,,
-0.142,-2.875,,
-2.246,-2.02,,
-2.318,-2.151,,
-1.517,-4.6,,
-3.514,-1.116,,
5.843,-4.256,,
-2.916,-5.241,,
-4.566,-0.487,,
-18.595,-0.437,,
-31.531,-1.118,,
-0.955,-1.49,,
-1.217,-0.956,,
-16.009,-1.578,,
-9.682,-16.335,,
0.195,2.566,,
-52.611,-2.181,,
-74.138,-1.445,,
-14.261,-7.499,,
-17.487,-0.19,,
-9.102,-9.176,,
-4.176,-1.108,,
-25.818,-5.199,,
-4.422,-6.189,,
-2.604,-7.831,,
-8.461,-9.417,,
-5.677,-14.593,,
-8.739,-2.601,,
-9.797,-7.455,,
-10.87,-6.211,,
-4.495,-4.989,,
-3.312,-4.422,,
-1.012,-5.636,,
-5.783,-2.024,,
-21.443,-1.24,,
0.106,-8.192,,
-1.051,-0.834,,
-30.716,-14.161,,
-0.511,-6.028,,
0.951,-11.246,,
-9.925,-4.982,,
-7.183,-0.823,,
-18.628,-11.134,,
-6.022,-3.522,,
-1.021,-5.413,,
-3.015,-6.07,,
-11.68,-9.368,,
-8.348,-10.792,,
-2.419,-3.392,,
-2.576,-5.33,,
-0.964,-6.018,,
-1.786,-0.537,,
-1.574,-10.672,,
-5.411,-15.923,,
-1.911,-5.699,,
-3.502,-1.113,,
-1.959,-4.427,,
-5.323,-5.563,,
-11.173,-1.733,,
-26.097,-3.199,,
-5.331,-13.69,,
-6.767,-0.832,,
0.615,-6.264,,
-12.898,-1.561,,
-12.119,-2.465,,
-5.177,-2.909,,
-2.943,-4.466,,
-6.947,-6.525,,
-4.11,-5.459,,
-15.74,-0.984,,
-8.369,-8.637,,
-0.8,-9.566,,
-7.711,29.897,,
-11.279,-21.436,,
-6.167,-0.252,,
-4.157,2.509,,
-1.583,-1.595,,
-6.48,-3.761,,
0.74,-3.408,,
-0.543,-7.907,,
-21.708,-0.53,,
-0.546,-1.012,,
-10.9,-1.5,,
-3.845,-0.706,,
24.717,-1.47,,
-41.233,-1.398,,
-11.277,-7.554,,
-25.106,-3.187,,
-1.181,-8.192,,
-21.513,-2.97,,
-48.756,-2.288,,
-170.253,-3.837,,
-1.409,-8.188,,
-3.107,-4.811,,
-12.398,-1.84,,
-6.94,-4.353,,
-3.54,0.293,,
-35.005,-2.529,,
-3.415,-5.912,,
-6.364,-1.853,,
-11.063,-10.487,,
-5.347,-8.332,,
-5.351,0.222,,
-1.937,-7.878,,
-10.75,-11.989,,
-9.166,-11.056,,
-10.921,-0.213,,
-40.295,-3.147,,
-3.963,-0.314,,
-54.938,-5.396,,
-12.476,-4.424,,
-6.478,-3.522,,
-49.338,-12.547,,
-0.958,-2.792,,
-0.912,-6.124,,
-1.056,-5.143,,
-9.539,-3.649,,
-4.557,-7.915,,
9.554,-0.098,,
-25.623,-6.44,,
-2.081,-3.81,,
-1.417,-3.176,,
-8.492,-2.861,,
-27.299,-2.74,,
-90.237,-6.453,,
-1.019,-6.941,,
-4.112,-11.704,,
-19.397,-6.719,,
-1.194,-6.146,,
-9.01,-0.972,,
-2.248,-3.844,,
-5.928,-2.68,,
-52.388,-3.751,,
-0.791,-8.305,,
-10.395,-4.008,,
-0.1,-9.199,,
-5.199,-3.22,,
-2.61,0.342,,
-49.113,-10.648,,
-6.11,-3.279,,
-0.718,0.22,,
-4.873,-10.074,,
-2.198,-2.12,,
-14.845,-7.04,,
-0.375,-1.202,,
0.733,-7.4,,
-8.895,-4.769,,
-1.321,-4.531,,
-15.25,-4.21,,
0.281,-10.181,,
-13.658,-3.726,,
0.02,-9.026,,
-3.447,-10.038,,
2.917,-3.251,,
-39.365,-10.126,,
-2.309,-4.508,,
-3.358,-4.672,,
-4.509,-4.088,,
-132.789,-0.048,,
-62.274,-0.746,,
-85.487,-1.28,,
-0.762,-0.786,,
-0.99,-3.935,,
-35.907,-3.612,,
-1.023,-0.581,,
-7.68,-1.607,,
-0.81,-6.058,,
-35.782,-1.758,,
-8.309,-5.609,,
-23.753,-0.497,,
-22.287,-3.949,,
-0.78,-8.745,,
-1.382,-0.174,,
-24.458,-3.388,,
-2.007,-8.783,,
-14.733,-3.399,,
-1.037,-3.595,,
-6.834,-3.251,,
-11.46,-32.12,,
-1.158,-6.366,,
-2.872,-7.455,,
